id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18666,Flat with Sunny Terrace,71615,Mireia And Maria,Sant Martí,el Camp de l'Arpa del Clot,41.40889,2.18555,Entire home/apt,130,3,1,2015-10-10,0.02,29,58
18674,Huge flat for 8 people close to Sagrada Familia,71615,Mireia And Maria,Eixample,la Sagrada Família,41.4042,2.17306,Entire home/apt,60,1,6,2019-02-04,0.09,29,285
23197,FORUM DELUXE 5 MINS WALK  CCIB CENTER & SEA!,90417,Etain,Sant Martí,el Besòs i el Maresme,41.41203,2.22114,Entire home/apt,200,3,35,2019-01-01,0.36,2,310
25786,NICE ROOM AVAILABLE IN THE HEART OF GRACIA,108310,Pedro,Gràcia,la Vila de Gràcia,41.40145,2.15645,Private room,36,1,224,2018-11-07,2.15,1,100
31377,"Room for 2,  Sagrada Famili",134698,Svetlana,Horta-Guinardó,el Baix Guinardó,41.41097,2.1707,Private room,42,3,4,2018-03-12,0.09,3,180
31380,"Room for 2-3. Barcelona, Sagrada Famili",134698,Svetlana,Horta-Guinardó,el Baix Guinardó,41.4109,2.17082,Private room,53,3,39,2018-12-29,0.86,3,177
31958,"Gaudi Attic 1, Friendly Rentals",136853,Fidelio,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4095,2.15938,Entire home/apt,62,1,154,2019-02-12,1.57,42,208
32471,"Gaudi Attic 2, Friendly Rentals",136853,Fidelio,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40928,2.16112,Entire home/apt,72,1,68,2019-01-17,0.68,42,210
32711,Sagrada Familia area - Còrsega 1,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40464,2.16954,Entire home/apt,140,2,47,2018-10-27,0.51,13,296
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,Ciutat Vella,el Barri Gòtic,41.37859,2.1773,Entire home/apt,290,5,130,2019-02-03,1.27,1,182
35379,Double 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39029,2.15268,Private room,40,2,229,2019-03-07,2.69,4,237
35388,Single 01 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39058,2.1519,Private room,30,2,188,2019-03-07,1.99,4,252
35390,Single 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39147,2.15118,Private room,30,2,191,2019-03-03,2.30,4,307
35392,Double 01 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39075,2.15072,Private room,45,2,156,2019-02-25,2.86,4,287
36763,In front of the beach,158596,Ester,Ciutat Vella,la Barceloneta,41.37906,2.19141,Private room,32,2,51,2018-11-10,0.56,1,364
40983,Classical loft close to pedrera!,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.3956,2.16761,Entire home/apt,95,3,115,2019-02-18,1.22,5,240
46153,"CHIC BORN, GREAT LOCATION , FREE WIFI",90417,Etain,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38776,2.17782,Entire home/apt,43,180,2,2018-09-30,0.02,2,157
49968,Sagrada Familia area - Còrsega 2,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40631,2.16945,Entire home/apt,140,2,31,2018-10-07,0.34,13,300
50066,Sagrada Familia area - Sardenya 1,135703,Nick,Eixample,el Fort Pienc,41.39821,2.17966,Entire home/apt,180,2,46,2019-01-01,0.49,13,252
58512,Stylish & cozy 3bed near Sagrada Familia,280070,Cristina,Sant Martí,el Camp de l'Arpa del Clot,41.41099,2.18119,Entire home/apt,115,4,355,2019-02-10,3.68,1,220
61444,Bright apartment - Rambla Catalunya (HUTB-005863),297545,Anil,Eixample,la Dreta de l'Eixample,41.38901,2.16552,Entire home/apt,105,2,41,2019-02-28,0.61,5,239
66037,Great apartment in  en el Born,323105,Amivelaz,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38322,2.18234,Entire home/apt,190,3,94,2019-01-06,0.96,2,292
67065,"Londres, Friendly Rentals",136853,Fidelio,Eixample,l'Antiga Esquerra de l'Eixample,41.39161,2.15089,Entire home/apt,72,1,64,2019-02-17,0.69,42,229
68547,two beds with private shower 30% off,340570,Atún,Ciutat Vella,el Barri Gòtic,41.38072,2.17811,Private room,47,2,64,2019-03-01,0.67,1,365
70099,"Room with a View, Bcn City Center",353987,Alex,Ciutat Vella,el Raval,41.37828,2.1708,Private room,49,2,307,2019-02-27,3.13,1,254
70333,Stylish+cozy home/parking/CCIB/WIFI,266650,Emilio Y Vanesa,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40905,2.21243,Entire home/apt,90,32,124,2018-03-04,1.49,1,0
71520,Charming apartment with fantastic views!,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.41837,2.13419,Entire home/apt,250,7,1,2011-06-23,0.01,1,225
71553,"Winter Holidays PROMOTIONS, apt with terrace!",366654,Arian Watermelon Barcelona!,Eixample,el Fort Pienc,41.3974,2.17682,Entire home/apt,110,2,46,2018-08-19,0.48,10,253
71603,MODERNIST PENTHOUSE. 1bedroom apt with terrace,366654,Arian Watermelon Barcelona!,Eixample,la Dreta de l'Eixample,41.39038,2.17606,Entire home/apt,390,2,36,2018-06-16,0.37,10,362
71736,APARTMENT BY MONTHS CITY CENTER MINIMUM 32 NIGHTS,368317,Nacharosa,Ciutat Vella,el Raval,41.38321,2.16656,Entire home/apt,100,32,11,2016-07-14,0.12,6,365
72436,Lugaris Beach Business Apartment,375625,Xavier,Sant Martí,el Poblenou,41.39837,2.20623,Entire home/apt,1000,3,169,2019-03-05,3.05,5,357
72793,RENT BY MONTH COLORIST APARTMENT MINIMUN 32 NITGHS,368317,Nacharosa,Ciutat Vella,el Raval,41.38248,2.16415,Entire home/apt,45,32,2,2014-08-27,0.02,6,365
72794,RENT MONTH FANTASTIC APARTMENT MINIMUM 32 NIGHTS,368317,Nacharosa,Ciutat Vella,el Raval,41.38294,2.16534,Entire home/apt,45,32,8,2014-08-23,0.09,6,365
73455,RAMBLAS ORCHID2 FAMILY APARTMENT,383697,Anna,Ciutat Vella,el Raval,41.38422,2.16701,Entire home/apt,148,1,87,2019-02-10,1.24,17,245
73683,Sagrada Familia area for 12 people,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40506,2.17081,Entire home/apt,300,2,138,2019-02-21,1.46,13,294
73692,Rustic apartment : Rambla Catalunya (HUTB-005863),297545,Anil,Eixample,la Dreta de l'Eixample,41.39108,2.16521,Entire home/apt,105,2,34,2019-02-03,0.42,5,292
