id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23197,Forum DeLuxe 5 mins Walk  To CCIB Center & Sea★,90417,Etain (Marnie),Sant Martí,el Besòs i el Maresme,41.41291,2.22063,Entire home/apt,220,3,52,2019-12-15,0.47,2,343
25786,NICE ROOM AVAILABLE IN THE HEART OF GRACIA,108310,Pedro,Gràcia,la Vila de Gràcia,41.40145,2.15645,Private room,42,1,274,2020-03-15,2.34,1,117
31958,"Gaudi Attic 1, Friendly Rentals",136853,Fidelio,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4095,2.15938,Entire home/apt,60,1,187,2020-01-07,1.69,30,278
32471,"Gaudi Attic 2, Friendly Rentals",136853,Fidelio,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40928,2.16112,Entire home/apt,65,1,93,2020-03-01,0.83,30,268
32711,Sagrada Familia area - Còrsega 1,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40566,2.17015,Entire home/apt,140,2,63,2020-02-22,0.60,13,290
34241,Private Double room - Plaza Real,73163,Andres,Ciutat Vella,el Barri Gòtic,41.37916,2.17535,Private room,100,5,8,2013-07-15,0.07,2,180
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,Ciutat Vella,el Barri Gòtic,41.37978,2.17623,Entire home/apt,227,5,148,2020-02-28,1.29,2,58
35379,Double 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39036,2.15274,Private room,40,2,302,2020-03-11,3.10,3,283
35390,Single 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39153,2.15125,Private room,30,2,258,2020-03-15,2.70,3,338
35392,Double 01 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39082,2.15078,Private room,45,2,221,2020-03-03,3.30,3,327
36763,In front of the beach,158596,Ester,Ciutat Vella,la Barceloneta,41.37906,2.19141,Private room,33,2,73,2019-10-15,0.71,1,338
40983,Classical loft close to pedrera!,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.39631,2.16832,Entire home/apt,130,2,339,2020-02-17,3.18,3,291
46153,CHIC BORN /SANTA CATERINA★ GREAT LOCATION★,90417,Etain (Marnie),Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38776,2.17782,Entire home/apt,39,64,2,2018-09-30,0.02,2,335
49213,"Descalzos en el parque, relax and  cool room",208154,Cate,Sants-Montjuïc,el Poble Sec,41.37254,2.16539,Private room,35,2,48,2019-09-27,0.60,1,36
